year	month	day	hour	minute	second	OOA1	OOA2	SO4	NH4	NO3	Correction factor
2005	4	2	0	30	0	0.349142	0.876064	0.0316929	0.0581954	0.121209	2
2005	4	2	0	40	0	0.403189	0.805566	0.0302826	0.0307057	0.104701	2
2005	4	2	0	50	0	0.331108	0.878047	0.0268047	0.068324	0.132413	2
2005	4	2	1	0	0	0.419307	0.819758	0.0716791	0.057558	0.112339	2
2005	4	2	1	10	0	0.400948	0.898242	0.0276862	0.0526156	0.144103	2
2005	4	2	1	20	0	0.475224	0.907615	0.0209337	0.0985266	0.136496	2
2005	4	2	1	30	0	0.398171	0.941634	0.0403187	0.0652262	0.129893	2
2005	4	2	1	40	0	0.342988	1.01388	0.0309661	0.0178708	0.129337	2
2005	4	2	1	50	0	0.369927	0.907329	0.0660065	0.0425932	0.156539	2
2005	4	2	2	0	0	0.421582	0.90312	0.0502037	0.021356	0.140667	2
2005	4	2	2	10	0	0.485095	0.92986	0.0516555	0.0380478	0.140947	2
2005	4	2	2	20	0	0.395677	0.909084	0.0661167	0.0789441	0.187125	2
2005	4	2	2	30	0	0.331865	1.08293	0.0433092	0.0446593	0.166898	2
2005	4	2	2	40	0	0.391659	0.889482	0.038537	0.0862603	0.173245	2
2005	4	2	2	50	0	0.422753	0.952366	0.0615454	0.0639496	0.1547	2
2005	4	2	3	0	0	0.363782	0.993387	0.0377454	-0.00339826	0.138361	2
2005	4	2	3	10	0	0.382596	0.92648	0.0419542	0.0740388	0.159034	2
2005	4	2	3	20	0	0.429446	0.920431	0.0488098	0.0831474	0.146876	2
2005	4	2	3	30	0	0.320774	0.998491	0.083292	0.0900331	0.185744	2
2005	4	2	3	40	0	0.412771	1.04362	0.0872723	0.0483399	0.199411	2
2005	4	2	3	50	0	0.29914	1.18889	0.0453933	0.150728	0.185916	2
2005	4	2	4	0	0	0.423006	1.1502	0.0439176	0.0862272	0.149167	2
2005	4	2	4	10	0	0.245526	1.17624	0.0571366	0.0661381	0.184854	2
2005	4	2	4	20	0	0.434816	0.929656	0.0745833	0.0654565	0.193484	2
2005	4	2	4	30	0	0.359343	1.00419	0.0698029	0.0638845	0.166857	2
2005	4	2	4	40	0	0.422818	0.914605	0.0563563	0.0745146	0.140011	2
2005	4	2	4	50	0	0.365955	0.99495	0.0754147	0.063242	0.187288	2
2005	4	2	5	0	0	0.350293	1.06673	0.0435764	0.036591	0.16167	2
2005	4	2	5	10	0	0.39799	1.07066	0.0495996	0.0734786	0.199334	2
2005	4	2	5	20	0	0.571113	0.992629	0.0590216	0.0475531	0.184071	2
2005	4	2	5	30	0	0.410445	1.08479	0.0547124	0.100876	0.187018	2
2005	4	2	5	40	0	0.476677	1.19251	0.0374655	0.0913252	0.21598	2
2005	4	2	5	50	0	0.257763	1.29781	0.0492834	0.0905149	0.187257	2
2005	4	2	6	0	0	0.414555	1.112	0.0792974	0.122579	0.196348	2
2005	4	2	6	10	0	0.539764	1.13461	0.0579695	0.0687511	0.154435	2
2005	4	2	6	20	0	0.520177	1.02286	0.0580248	0.104729	0.160278	2
2005	4	2	6	30	0	0.394287	0.919151	0.11678	0.0510585	0.141158	2
2005	4	2	6	40	0	0.501146	0.8386	0.0813642	0.0785689	0.174587	2
2005	4	2	6	50	0	0.360147	0.937	0.0334173	0.0568478	0.161382	2
2005	4	2	7	0	0	0.39536	0.863126	0.0679983	0.064009	0.125005	2
2005	4	2	7	10	0	0.370274	0.811312	0.053976	0.0441901	0.16816	2
2005	4	2	7	20	0	0.415573	0.704045	0.05706	0.0789075	0.152389	2
2005	4	2	7	30	0	0.456847	0.672221	0.0674379	0.0682171	0.164294	2
2005	4	2	7	40	0	0.547652	0.559371	0.0635816	0.0677851	0.130293	2
2005	4	2	7	50	0	0.382957	0.725107	0.067236	0.0833627	0.118893	2
2005	4	2	8	0	0	0.507293	0.625094	0.0683993	0.103037	0.119246	2
2005	4	2	8	10	0	0.559751	0.54946	0.0859658	0.105633	0.130731	2
2005	4	2	8	20	0	0.701406	0.426366	0.0746471	0.0973175	0.138855	2
2005	4	2	8	30	0	0.558859	0.607621	0.0622798	0.0500798	0.148389	2
2005	4	2	8	40	0	0.520573	0.596161	0.0822654	0.0320098	0.139178	2
2005	4	2	8	50	0	0.528505	0.632031	0.0771227	0.115634	0.122824	2
2005	4	2	9	0	0	0.525716	0.618155	0.087933	0.115072	0.125411	2
2005	4	2	9	10	0	0.569097	0.635337	0.0858801	0.0664292	0.135452	2
2005	4	2	9	20	0	0.637328	0.554823	0.0933078	0.0831956	0.118985	2
2005	4	2	9	30	0	0.536434	0.599597	0.0851055	0.149862	0.139459	2
2005	4	2	9	40	0	0.546712	0.615462	0.104546	0.130086	0.118413	2
2005	4	2	9	50	0	0.579313	0.5132	0.112222	0.0496159	0.159443	2
2005	4	2	10	0	0	0.442142	0.535198	0.125416	0.110625	0.151093	2
2005	4	2	10	10	0	nan	nan	nan	nan	nan	2
2005	4	2	10	20	0	nan	nan	nan	nan	nan	2
2005	4	2	10	30	0	0.539315	0.528848	0.136726	0.0781192	0.125028	2
2005	4	2	10	40	0	0.619856	0.387118	0.1879	0.088214	0.0997986	2
2005	4	2	10	50	0	0.492968	0.349378	0.175049	0.13426	0.109703	2
2005	4	2	11	0	0	0.641555	0.341427	0.115614	0.138704	0.0983053	2
2005	4	2	11	10	0	0.564647	0.362611	0.120145	0.101101	0.11188	2
2005	4	2	11	20	0	0.620661	0.338956	0.135728	0.0951206	0.141342	2
2005	4	2	11	30	0	0.630043	0.383608	0.155306	0.130557	0.106163	2
2005	4	2	11	40	0	0.548586	0.422208	0.133316	0.0987009	0.133112	2
2005	4	2	11	50	0	0.691883	0.399049	0.162848	0.0917433	0.165566	2
2005	4	2	12	0	0	0.652362	0.354803	0.111908	0.102117	0.124399	2
2005	4	2	12	10	0	0.618451	0.525475	0.13936	0.126526	0.146542	2
2005	4	2	12	20	0	0.84084	0.274701	0.12583	0.110438	0.131088	2
2005	4	2	12	30	0	0.72005	0.334722	0.164861	0.145334	0.145116	2
2005	4	2	12	40	0	0.6573	0.355629	0.179158	0.130312	0.130878	2
2005	4	2	12	50	0	0.617832	0.427205	0.171601	0.11303	0.116383	2
2005	4	2	13	0	0	0.652019	0.367112	0.184764	0.0729634	0.107144	2
2005	4	2	13	10	0	0.665005	0.355727	0.174666	0.191253	0.125093	2
2005	4	2	13	20	0	0.816673	0.281655	0.187049	0.16129	0.182932	2
2005	4	2	13	30	0	0.687205	0.348432	0.309553	0.123046	0.152682	2
2005	4	2	13	40	0	0.72754	0.301899	0.174918	0.0981019	0.147789	2
2005	4	2	13	50	0	0.785012	0.238787	0.184254	0.124738	0.120046	2
2005	4	2	14	0	0	0.75314	0.21717	0.17163	0.172168	0.138592	2
2005	4	2	14	10	0	0.727681	0.256359	0.267362	0.160042	0.160208	2
2005	4	2	14	20	0	0.71002	0.288435	0.180109	0.120962	0.158667	2
2005	4	2	14	30	0	0.751156	0.275666	0.176143	0.117421	0.127719	2
2005	4	2	14	40	0	0.729292	0.329225	0.147163	0.114982	0.139102	2
2005	4	2	14	50	0	0.78679	0.313323	0.135608	0.130442	0.141079	2
