month	day	hour	minute	Doy (LT)	82Fac	OOA1	OOA2	91Fac
6	25	23	0	177.9583333333	0.499729	1.05228	0.143784	0.178049
6	25	23	10	177.9652777778	0.480828	1.01029	0.163503	0.206727
6	25	23	20	177.9722222222	0.369893	0.805393	0.17568	0.507653
6	25	23	30	177.9791666667	0.247625	0.651298	0.157867	0.229007
6	25	23	40	177.9861111111	0.453515	0.957009	0.22114	0.170316
6	25	23	50	177.9930555556	0.495824	1.08404	0.144498	0.187338
6	26	0	0	178	0.521102	1.01835	0.153445	0.22575
6	26	0	10	178.0069444444	0.499353	1.12117	0.149022	0.231394
6	26	0	20	178.0138888889	0.464779	1.05289	0.197687	0.302515
6	26	0	30	178.0208333333	0.540388	1.08768	0.145167	0.253556
6	26	0	40	178.0277777778	0.485091	1.06812	0.147731	0.216036
6	26	0	50	178.0347222222	0.523795	1.00158	0.169748	0.194748
6	26	1	0	178.0416666667	0.589459	1.0111	0.156891	0.557235
6	26	1	10	178.0486111111	0.61563	0.962984	0.176887	0.228335
6	26	1	20	178.0555555556	0.618234	1.08923	0.174137	0.279978
6	26	1	30	178.0625	0.525166	1.08841	0.203857	0.207953
6	26	1	40	178.0694444444	0.556292	1.11246	0.154404	0.310976
6	26	1	50	178.0763888889	0.582481	1.03078	0.206274	0.241447
6	26	2	0	178.0833333333	0.669593	1.05453	0.153363	0.224541
6	26	2	10	178.0902777778	0.666965	1.08533	0.106316	0.235785
6	26	2	20	178.0972222222	0.551699	1.1432	0.187713	0.235332
6	26	2	30	178.1041666667	0.59343	1.1111	0.174051	0.233231
6	26	2	40	178.1111111111	0.592042	1.17654	0.186722	0.282715
6	26	2	50	178.1180555556	0.644996	1.10179	0.148918	0.287516
6	26	3	0	178.125	0.613325	1.10297	0.161217	0.2478
6	26	3	10	178.1319444444	0.662591	1.09795	0.0847657	0.218047
6	26	3	20	178.1388888889	0.702348	1.07675	0.130738	0.211285
6	26	3	30	178.1458333333	0.592941	0.979971	0.123818	0.244842
6	26	3	40	178.1527777778	0.64924	0.854768	0.181633	0.198677
6	26	3	50	178.1597222222	0.655548	0.983797	0.0771227	0.178095
6	26	4	0	178.1666666667	0.619892	0.864928	0.086115	0.174935
6	26	4	10	178.1736111111	0.620042	0.975056	0.111752	0.17575
6	26	4	20	178.1805555556	0.598492	0.867535	0.107452	0.107096
6	26	4	30	178.1875	0.557789	0.902871	0.144582	0.102554
