AOCTimewave, AmbTemp, DewPtTemp, DewPtTempTDL, H2Omr, PotTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd
59557,21.271,12.039,-23.831,9.75,302.48,54.9,909.73,0.72,292.07,5.88
59558,21.011,11.867,-23.83,9.65,302.29,55.17,908.92,0.41,289.65,6.19
59559,20.761,11.797,-23.829,9.61,302.11,55.78,908.11,-0.18,292.89,6.15
59560,20.685,11.844,-23.829,9.65,302.11,56.23,907.3,-0.14,292.44,5.7
59561,20.805,12.011,-23.829,9.77,302.28,56.43,906.78,0.09,290.68,5.25
59562,20.869,12.251,-23.831,9.93,302.41,57.11,906.11,0.25,290.88,5.67
59563,20.785,12.497,-23.83,10.1,302.4,58.36,905.31,0.16,288.77,5.81
59564,20.713,12.671,-23.831,10.23,302.4,59.32,904.49,0.01,287.16,6.11
59565,20.805,12.69,-23.831,10.26,302.59,59.04,903.56,0.16,289.11,6.26
59566,20.713,12.692,-23.83,10.27,302.57,59.4,902.73,0.09,288.75,6.26
59567,20.709,12.699,-23.828,10.28,302.66,59.44,901.75,0.1,290.17,6.23
59568,20.639,12.7,-23.829,10.3,302.7,59.71,900.54,-0.02,285.22,6.48
59569,20.494,12.724,-23.83,10.33,302.66,60.35,899.42,0.11,285.22,6.32
59570,20.441,12.738,-23.832,10.35,302.69,60.61,898.52,0.32,286.78,6.61
59571,20.168,12.808,-23.831,10.41,302.52,61.96,897.39,0.53,284.88,6.69
59572,20.054,12.807,-23.831,10.42,302.5,62.41,896.38,0.49,285.07,7.17
59573,20.068,12.905,-23.832,10.5,302.62,62.76,895.32,0.22,286.57,7.18
59574,20.042,12.982,-23.831,10.57,302.67,63.19,894.46,0.2,285.55,7.16
59575,19.961,13.006,-23.83,10.59,302.68,63.61,893.49,-0.09,285.66,7.09
59576,19.938,12.929,-23.831,10.55,302.72,63.38,892.84,-0.06,288.57,7.39
59577,19.908,12.686,-23.831,10.39,302.75,62.48,892.21,-0.27,290.25,7.52
59578,19.881,12.42,-23.831,10.21,302.79,61.49,891.52,-0.24,292.51,7.4
59579,19.961,12.152,-23.83,10.04,302.95,60.09,890.7,-0.2,294.26,7.24
59580,19.958,11.885,-23.83,9.87,303.03,59.03,889.88,-0.22,294.52,6.9
59581,19.926,11.627,-23.828,9.71,303.11,58.14,888.76,-0.05,293.99,6.58
59582,19.924,11.377,-23.829,9.56,303.19,57.18,887.88,0.11,294.96,6.67
59583,19.873,11.181,-23.831,9.45,303.23,56.61,886.96,0.32,295.55,6.76
59584,19.836,10.98,-23.831,9.33,303.29,55.98,885.98,0.47,296.25,6.62
59585,19.723,10.874,-23.832,9.27,303.27,55.98,884.97,0.65,297.27,6.83
59586,19.684,10.723,-23.831,9.19,303.33,55.55,883.96,0.65,297.82,7.06
