IEPOX-SOA	LO-OOA	MO-OOA	BBOA	ISOPOOH-SOA	T_series_start	T_series_end
0.13009	0.312931	0.691945	0		5-6-2013 18:04	5-6-2013 18:08
					5-6-2013 18:08	5-6-2013 18:12
0.0615405	0.1912	0.3914	0.0130187		5-6-2013 18:12	5-6-2013 18:16
0.0676306	0.168446	0.296318	0.0122125		5-6-2013 18:16	5-6-2013 18:20
0.0652973	0.126262	0.284009	0		5-6-2013 18:20	5-6-2013 18:24
					5-6-2013 18:24	5-6-2013 18:28
					5-6-2013 18:28	5-6-2013 18:32
					5-6-2013 18:32	5-6-2013 18:36
					5-6-2013 18:36	5-6-2013 18:40
					5-6-2013 18:40	5-6-2013 18:44
					5-6-2013 18:44	5-6-2013 18:48
					5-6-2013 18:48	5-6-2013 18:52
					5-6-2013 18:52	5-6-2013 18:56
					5-6-2013 18:56	5-6-2013 19:00
0.0520721	0.106108	0.138836	0.009975		5-6-2013 19:00	5-6-2013 19:04
0.0626216	0.0620154	0.1367	6.25E-06		5-6-2013 19:04	5-6-2013 19:08
					5-6-2013 19:08	5-6-2013 19:12
0.0803874	0.0682923	0.1932	0.0100438		5-6-2013 19:12	5-6-2013 19:16
0.0757387	0.0803462	0.140882	0.0179		5-6-2013 19:16	5-6-2013 19:20
0.0660991	0.0951538	0.172927	0.0110938		5-6-2013 19:20	5-6-2013 19:24
					5-6-2013 19:24	5-6-2013 19:28
					5-6-2013 19:28	5-6-2013 19:32
					5-6-2013 19:32	5-6-2013 19:36
					5-6-2013 19:36	5-6-2013 19:40
					5-6-2013 19:40	5-6-2013 19:44
					5-6-2013 19:44	5-6-2013 19:48
					5-6-2013 19:48	5-6-2013 19:52
					5-6-2013 19:52	5-6-2013 19:56
					5-6-2013 19:56	5-6-2013 20:00
0.104892	0.0485615	0.318727	0.0076125		5-6-2013 20:00	5-6-2013 20:04
0.122405	0.0591154	0.297527	0		5-6-2013 20:04	5-6-2013 20:08
					5-6-2013 20:08	5-6-2013 20:12
0.0853694	0.0711154	0.305736	0.00845625		5-6-2013 20:12	5-6-2013 20:16
0.112036	0.0965769	0.324545	6.25E-06		5-6-2013 20:16	5-6-2013 20:20
0.100243	0.135315	0.288836	0		5-6-2013 20:20	5-6-2013 20:24
					5-6-2013 20:24	5-6-2013 20:28
					5-6-2013 20:28	5-6-2013 20:32
					5-6-2013 20:32	5-6-2013 20:36
					5-6-2013 20:36	5-6-2013 20:40
					5-6-2013 20:40	5-6-2013 20:44
					5-6-2013 20:44	5-6-2013 20:48
					5-6-2013 20:48	5-6-2013 20:52
					5-6-2013 20:52	5-6-2013 20:56
					5-6-2013 20:56	5-6-2013 21:00
0.085045	0.176115	0.282518	0.00346875		5-6-2013 21:00	5-6-2013 21:04
0.0943063	0.256515	0.214173	0		5-6-2013 21:04	5-6-2013 21:08
					5-6-2013 21:08	5-6-2013 21:12
0.0833874	0.315046	0.172736	0.0501563		5-6-2013 21:12	5-6-2013 21:16
0.0854144	0.273046	0.178964	0.0442375		5-6-2013 21:16	5-6-2013 21:20
0.079964	0.332754	0.178455	0.0294437		5-6-2013 21:20	5-6-2013 21:24
					5-6-2013 21:24	5-6-2013 21:28
					5-6-2013 21:28	5-6-2013 21:32
					5-6-2013 21:32	5-6-2013 21:36
					5-6-2013 21:36	5-6-2013 21:40
					5-6-2013 21:40	5-6-2013 21:44
					5-6-2013 21:44	5-6-2013 21:48
					5-6-2013 21:48	5-6-2013 21:52
					5-6-2013 21:52	5-6-2013 21:56
					5-6-2013 21:56	5-6-2013 22:00
0.0822072	0.233146	0.2632	0.0243938		5-6-2013 22:00	5-6-2013 22:04
0.111847	0.198877	0.266236	0		5-6-2013 22:04	5-6-2013 22:08
					5-6-2013 22:08	5-6-2013 22:12
0.0779099	0.196362	0.244555	0.03515		5-6-2013 22:12	5-6-2013 22:16
0.0835586	0.212685	0.274482	0.012175		5-6-2013 22:16	5-6-2013 22:20
0.0926216	0.216538	0.272791	0		5-6-2013 22:20	5-6-2013 22:24
					5-6-2013 22:24	5-6-2013 22:28
					5-6-2013 22:28	5-6-2013 22:32
					5-6-2013 22:32	5-6-2013 22:36
					5-6-2013 22:36	5-6-2013 22:40
					5-6-2013 22:40	5-6-2013 22:44
					5-6-2013 22:44	5-6-2013 22:48
					5-6-2013 22:48	5-6-2013 22:52
					5-6-2013 22:52	5-6-2013 22:56
					5-6-2013 22:56	5-6-2013 23:00
0.0809099	0.332969	0.296755	0.0142812		5-6-2013 23:00	5-6-2013 23:04
0.105667	0.3217	0.357936	0		5-6-2013 23:04	5-6-2013 23:08
					5-6-2013 23:08	5-6-2013 23:12
0.0782973	0.373592	0.285818	0.00540625		5-6-2013 23:12	5-6-2013 23:16
0.0760541	0.423723	0.246645	0.0158875		5-6-2013 23:16	5-6-2013 23:20
0.0582973	0.486362	0.217391	0.0260313		5-6-2013 23:20	5-6-2013 23:24
					5-6-2013 23:24	5-6-2013 23:28
					5-6-2013 23:28	5-6-2013 23:32
					5-6-2013 23:32	5-6-2013 23:36
					5-6-2013 23:36	5-6-2013 23:40
					5-6-2013 23:40	5-6-2013 23:44
					5-6-2013 23:44	5-6-2013 23:48
					5-6-2013 23:48	5-6-2013 23:52
					5-6-2013 23:52	5-6-2013 23:56
					5-6-2013 23:56	6-6-2013 00:00
0.0967207	0.441323	0.356882	0.0094125		6-6-2013 00:00	6-6-2013 00:04
0.0794504	0.451508	0.345727	0		6-6-2013 00:04	6-6-2013 00:08
					6-6-2013 00:08	6-6-2013 00:12
0.0765225	0.429938	0.311836	0.0034875		6-6-2013 00:12	6-6-2013 00:16
0.0849279	0.484108	0.344964	0.0111625		6-6-2013 00:16	6-6-2013 00:20
0.0736847	0.496723	0.306327	0		6-6-2013 00:20	6-6-2013 00:24
					6-6-2013 00:24	6-6-2013 00:28
					6-6-2013 00:28	6-6-2013 00:32
					6-6-2013 00:32	6-6-2013 00:36
					6-6-2013 00:36	6-6-2013 00:40
					6-6-2013 00:40	6-6-2013 00:44
					6-6-2013 00:44	6-6-2013 00:48
					6-6-2013 00:48	6-6-2013 00:52
					6-6-2013 00:52	6-6-2013 00:56
					6-6-2013 00:56	6-6-2013 01:00
0.0705135	0.522231	0.337427	0.0205813		6-6-2013 01:00	6-6-2013 01:04
0.0824414	0.577631	0.238018	0		6-6-2013 01:04	6-6-2013 01:08
					6-6-2013 01:08	6-6-2013 01:12
0.0701081	0.527523	0.355418	0.00975		6-6-2013 01:12	6-6-2013 01:16
0.0836306	0.537377	0.311373	0		6-6-2013 01:16	6-6-2013 01:20
0.0814775	0.501723	0.343673	0		6-6-2013 01:20	6-6-2013 01:24
					6-6-2013 01:24	6-6-2013 01:28
					6-6-2013 01:28	6-6-2013 01:32
					6-6-2013 01:32	6-6-2013 01:36
					6-6-2013 01:36	6-6-2013 01:40
					6-6-2013 01:40	6-6-2013 01:44
					6-6-2013 01:44	6-6-2013 01:48
					6-6-2013 01:48	6-6-2013 01:52
					6-6-2013 01:52	6-6-2013 01:56
					6-6-2013 01:56	6-6-2013 02:00
0.0681532	0.666462	0.365209	0.00553125		6-6-2013 02:00	6-6-2013 02:04
0.0812793	0.644592	0.345182	0		6-6-2013 02:04	6-6-2013 02:08
					6-6-2013 02:08	6-6-2013 02:12
0.0826306	0.635162	0.383527	0.0062875		6-6-2013 02:12	6-6-2013 02:16
0.0645135	0.755269	0.334736	0		6-6-2013 02:16	6-6-2013 02:20
0.0883063	0.6296	0.337391	0		6-6-2013 02:20	6-6-2013 02:24
					6-6-2013 02:24	6-6-2013 02:28
					6-6-2013 02:28	6-6-2013 02:32
					6-6-2013 02:32	6-6-2013 02:36
					6-6-2013 02:36	6-6-2013 02:40
					6-6-2013 02:40	6-6-2013 02:44
					6-6-2013 02:44	6-6-2013 02:48
					6-6-2013 02:48	6-6-2013 02:52
					6-6-2013 02:52	6-6-2013 02:56
					6-6-2013 02:56	6-6-2013 03:00
0.0762613	0.808385	0.429845	0.00496875		6-6-2013 03:00	6-6-2013 03:04
0.0656396	0.836208	0.329082	0		6-6-2013 03:04	6-6-2013 03:08
					6-6-2013 03:08	6-6-2013 03:12
0.0927748	0.850992	0.371564	0		6-6-2013 03:12	6-6-2013 03:16
0.063991	0.852062	0.405036	0		6-6-2013 03:16	6-6-2013 03:20
