Start_LT	aPinene	bPinene	Isoprene	Limonene	Myrcene	O3	OH	nitrateSSfromben
3452953800	0.2019666681687037	0.1206000000238419	2.784966627756754	0.04656666641434034	0.006733333381513755			
3452954100	0.2088833351929982	0.1214499995112419	2.419683297475179	0.04803333307305972	0.00676666673583289			
3452954400	0.2158000022172928	0.122299998998642	2.054399967193604	0.0494999997317791	0.006800000090152025			
3452954700	0.2137000014384588	0.1211166655023893	1.803733309110006	0.05156666661302248	0.007016666776811083			
3452955000	0.2116000006596247	0.1199333320061366	1.553066651026408	0.05363333349426588	0.007233333463470141			
3452955300	0.2094999998807907	0.1187499985098839	1.30239999294281	0.05570000037550926	0.007450000150129199			
3452955600	0.2073999991019567	0.1175666650136312	1.051733334859212	0.05776666725675265	0.007666666836788257			0.00014449957
3452955900	0.2052999983231227	0.1163833315173785	0.8010666767756143	0.05983333413799604	0.007883333523447314			0.00014657792
3452956200	0.2031999975442886	0.1151999980211258	0.5504000186920166	0.06190000101923943	0.008100000210106373			0.00011517382
3452956500	0.2024999981125196	0.1156499981880188	0.638450006643931	0.06083333430190881	0.007866666807482639			0.00010210871
3452956800	0.2017999986807505	0.1160999983549118	0.7264999945958455	0.05976666758457819	0.007633333404858907			0.0001041736
3452957100	0.2010999992489815	0.1165499985218048	0.81454998254776	0.05870000086724758	0.007400000002235174			9.3062823e-05
3452957400	0.2003999998172124	0.1169999986886978	0.9025999704996744	0.05763333414991697	0.007166666599611442			7.715963900000001e-05
3452957700	0.1997000003854434	0.1174499988555908	0.9906499584515889	0.05656666743258635	0.006933333196987709			5.4426986e-05
3452958000	0.1990000009536743	0.1178999990224838	1.078699946403503	0.05550000071525574	0.006699999794363976			7.0216265e-05
3452958300	0.2049166684349378	0.1201166659593582	1.088483293851217	0.05316666699945927	0.006833333134030302			5.2349009e-05
3452958600	0.2108333359162013	0.1223333328962326	1.09826664129893	0.0508333332836628	0.006966666473696629			2.9886083e-05
3452958900	0.2167500033974648	0.124549999833107	1.108049988746643	0.04849999956786633	0.007099999813362956			3.6771762e-05
3452959200	0.2226666708787282	0.1267666667699814	1.117833336194356	0.04616666585206985	0.007233333153029283			4.2036252e-05
3452959500	0.2285833383599917	0.1289833337068558	1.12761668364207	0.04383333213627338	0.00736666649269561			4.0644965e-05
3452959800	0.2345000058412552	0.1312000006437302	1.137400031089783	0.04149999842047691	0.007499999832361937			6.822541000000001e-05
3452960100	0.2508833383520444	0.1457833349704742	1.216666698455811	0.04628333263099194	0.007699999880666534			3.9613529e-05
3452960400	0.2672666708628337	0.1603666692972183	1.295933365821838	0.05106666684150696	0.007899999928971132			3.5971574e-05
3452960700	0.2836500033736229	0.1749500036239624	1.375200033187866	0.05585000105202198	0.008099999977275729			2.4228046e-05
3452961000	0.3000333358844121	0.1895333379507065	1.454466700553894	0.060633335262537	0.008300000025580326			2.2055317e-05
3452961300	0.3164166683952014	0.2041166722774506	1.533733367919922	0.06541666947305202	0.008500000073884925			3.5320652e-05
