HRNO3_Amb_CU	HROrg_Amb_CU	t_series_Local_Start
		3455936768
		3455936883
		3455936916
		3455937009
		3455937122
0.021	0.8080000000000001	3455937156
		3455937248
		3455937362
		3455937396
		3455937488
		3455937602
0.013	0.66	3455937635
		3455937727
		3455937842
		3455937875
		3455937968
		3455938082
0.019	0.678	3455938116
		3455938209
		3455938322
		3455938356
		3455938448
		3455938562
0.008999999999999999	0.593	3455938596
		3455938688
		3455938802
		3455938835
		3455938928
		3455939042
0.014	0.5659999999999999	3455939076
		3455939168
		3455939282
		3455939315
		3455939408
		3455939522
0.018	0.8	3455939556
		3455939648
		3455939762
		3455939795
		3455939888
		3455940002
0.013	0.594	3455940036
		3455940129
		3455940242
		3455940275
		3455940367
		3455940482
0.011	0.537	3455940516
		3455940608
		3455940722
		3455940756
		3455940848
		3455940963
0.019	0.743	3455940997
		3455941089
		3455941202
		3455941236
		3455941328
		3455941442
0.018	0.681	3455941476
		3455941568
		3455941682
		3455941715
		3455941808
		3455941922
0.02	0.791	3455941957
		3455942049
		3455942162
		3455942195
		3455942288
		3455942402
0.028	0.929	3455942436
		3455942528
		3455942642
		3455942676
		3455942768
		3455942882
0.032	1.156	3455942916
		3455943008
		3455943122
		3455943156
		3455943248
		3455943362
0.03	1.191	3455943396
		3455943488
		3455943602
		3455943635
		3455943728
		3455943842
0.027	1.26	3455943876
		3455943968
		3455944082
		3455944115
		3455944207
		3455944322
0.026	1.302	3455944355
		3455944448
		3455944562
		3455944596
		3455944689
		3455944802
0.033	1.275	3455944837
		3455944929
		3455945042
		3455945075
		3455945168
		3455945282
0.041	1.574	3455945315
		3455945408
		3455945522
		3455945556
		3455945648
		3455945762
0.039	1.439	3455945796
		3455945889
		3455946002
		3455946036
		3455946128
		3455946242
0.031	1.494	3455946276
		3455946368
		3455946483
		3455946516
		3455946608
		3455946722
0.034	1.43	3455946756
		3455946849
		3455946962
		3455946995
		3455947088
		3455947202
0.033	1.335	3455947236
		3455947328
		3455947442
		3455947475
		3455947568
		3455950322
		3455950326
		3455950360
		3455950452
		3455950563
0.03	1.308	3455950596
		3455950688
		3455950846
		3455950879
		3455950981
		3455951057
0.028	1.079	3455951158
		3455951257
		3455951281
		3455951359
		3455951457
		3455951521
0.021	0.587	3455951555
		3455951679
		3455951773
		3455951873
		3455951970
		3455952065
		3455952166
		3455952264
		3455952362
		3455952461
		3455952481
0.015	0.76	3455952564
		3455952660
		3455952757
		3455952853
		3455952953
		3455952962
0.007	1.19	3455953054
		3455953472
